table,fieldName,description,dataType,units,downloadPkg,pubFormat
SAAT_1min,startDateTime,"Date and time at which a sampling is initiated",dateTime,NA,basic,"yyyy-MM-dd'T'HH:mm:ss'Z'(floor)"
SAAT_1min,endDateTime,"Date and time at which a sampling is completed",dateTime,NA,basic,"yyyy-MM-dd'T'HH:mm:ss'Z'(floor)"
SAAT_1min,tempSingleMean,"Arithmetic mean of single aspirated air temperature",real,celsius,basic,"*.####(round)"
SAAT_1min,tempSingleMinimum,"Minimum single aspirated air temperature",real,celsius,basic,"*.####(round)"
SAAT_1min,tempSingleMaximum,"Maximum single aspirated air temperature",real,celsius,basic,"*.####(round)"
SAAT_1min,tempSingleVariance,"Variance in single aspirated air temperature",real,celsiusSquared,basic,"*.####(round)"
SAAT_1min,tempSingleNumPts,"Number of points used to calculate the arithmetic mean of single aspirated air temperature",real,number,basic,"*.####(round)"
SAAT_1min,tempSingleExpUncert,"Expanded uncertainty for single aspirated air temperature",real,celsius,basic,"*.####(round)"
SAAT_1min,tempSingleStdErMean,"Standard error of the mean for single aspirated air temperature",real,celsius,basic,"*.####(round)"
SAAT_1min,rangeFailQM,"Quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,rangePassQM,"Quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,rangeNAQM,"Quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,persistenceFailQM,"Quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,persistencePassQM,"Quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,persistenceNAQM,"Quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,stepFailQM,"Quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,stepPassQM,"Quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,stepNAQM,"Quality metric that summarizes when the step test could not be run over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,nullFailQM,"Quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,nullPassQM,"Quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,nullNAQM,"Quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,gapFailQM,"Quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,gapPassQM,"Quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,gapNAQM,"Quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,spikeFailQM,"Quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,spikePassQM,"Quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,spikeNAQM,"Quality metric that summarizes when the spike test could not be run over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,flowFailQM,"Quality metric that summarizes the failed outcomes of the flow rate test over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,flowPassQM,"Quality metric that summarizes the passed outcomes of the flow rate test over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,flowNAQM,"Quality metric that summarizes when the flow rate test could not be run over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,heaterFailQM,"Quality metric that summarizes when the heater was on over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,heaterPassQM,"Quality metric that summarizes when the heater was off over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,heaterNAQM,"Quality metric that summarizes when the heater status was unknown over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,validCalFailQM,"Quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,validCalPassQM,"Quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,validCalNAQM,"Quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded,"*.####(round)"
SAAT_1min,alphaQM,"Quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded,"*.####(round)"
SAAT_1min,betaQM,"Quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded,"*.####(round)"
SAAT_1min,finalQF,"Quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic,"integer"
SAAT_1min,finalQFSciRvw,"Quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)",unsigned integer,NA,expanded,"integer"
SAAT_30min,startDateTime,"Date and time at which a sampling is initiated",dateTime,NA,basic,"yyyy-MM-dd'T'HH:mm:ss'Z'(floor)"
